id,Make,Driver,Manager,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Charging Cost,Maintenance Cost,Date,Range,Month
165,Hyundai Ioniq 5,George,Vikram,0.54,185,365.0,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-02-11,405.61,2
166,Hyundai Ioniq 5,Fiona,Vikram,2.7,185,345.0,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-05,383.38,3
167,Hyundai Ioniq 5,George,Vikram,0.54,185,337.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-02-01,374.6,2
168,Honda Clarity EV,George,Sneha,2.22,180,367.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-31,408.27,8
169,Nissan ARIYA,Alice,Ramesh,0.0,160,296.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-06,329.04,7
170,Citroen eC3,Ivan,Maya,2.73,110,138.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-09-11,153.35,9
171,Citroen eC3,Fiona,Maya,4.55,110,138.4,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-08-26,153.8,8
172,Maruti Jimny EV,Ivan,Ananya,0.0,140,183.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-07-19,203.8,7
173,Nissan ARIYA,Diana,Ramesh,0.62,160,275.5,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-05-31,306.15,5
174,Honda Clarity EV,Julia,Sneha,0.0,180,360.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-31,400.16,3
175,Maruti Jimny EV,George,Ananya,0.0,140,177.8,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-09,197.58,1
176,Honda Clarity EV,Charlie,Sneha,1.11,180,353.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-12-30,392.71,12
177,Maruti Jimny EV,Charlie,Ananya,1.43,140,176.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-20,196.25,1
178,Citroen eC3,Fiona,Maya,0.0,110,135.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-09-30,150.8,9
179,Hyundai Ioniq 5,Julia,Vikram,0.54,185,344.6,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-31,382.94,3
180,Honda Clarity EV,Fiona,Sneha,2.22,180,366.0,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-06-30,406.72,6
181,Hyundai Ioniq 5,Bob,Vikram,2.7,185,357.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-10-19,396.83,10
182,Maruti Jimny EV,Julia,Ananya,0.0,140,186.8,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-07-28,207.58,7
183,Hyundai Ioniq 5,Charlie,Vikram,1.62,185,354.2,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-25,393.6,4
184,Hyundai Ioniq 5,Alice,Vikram,0.0,185,356.2,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-09-21,395.83,9
185,Citroen eC3,Julia,Maya,1.82,110,132.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-05-26,146.68,5
186,Honda Clarity EV,Alice,Sneha,0.56,180,341.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-13,379.38,5
187,Maruti Jimny EV,Julia,Ananya,1.43,140,186.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-13,206.91,9
188,Honda Clarity EV,George,Sneha,0.56,180,374.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-01,415.72,5
189,Honda Clarity EV,George,Sneha,1.67,180,373.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-20,414.94,3
190,Nissan ARIYA,George,Ramesh,0.0,160,296.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-01-05,329.93,1
191,Nissan ARIYA,Bob,Ramesh,3.12,160,277.7,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-04-06,308.59,4
192,Hyundai Ioniq 5,Charlie,Vikram,1.08,185,363.0,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-06-24,403.38,6
193,Hyundai Ioniq 5,Diana,Vikram,1.62,185,329.9,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-09-08,366.6,9
194,Nissan ARIYA,Fiona,Ramesh,1.88,160,291.6,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-02-28,324.04,2
195,Honda Clarity EV,Fiona,Sneha,0.0,180,357.0,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-11-17,396.72,11
196,Nissan ARIYA,Hannah,Ramesh,2.5,160,269.8,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-11,299.81,7
197,Nissan ARIYA,Alice,Ramesh,1.25,160,275.4,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-11-18,306.04,11
198,Citroen eC3,Julia,Maya,4.55,110,136.2,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-07-09,151.35,7
199,Nissan ARIYA,Charlie,Ramesh,0.0,160,270.6,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-01,300.7,10
200,Hyundai Ioniq 5,Diana,Vikram,0.0,185,348.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-01-07,386.83,1
201,Maruti Jimny EV,Charlie,Ananya,2.86,140,173.7,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-18,193.02,1
202,Citroen eC3,Julia,Maya,4.55,110,124.5,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-08-14,138.35,8
203,Maruti Jimny EV,George,Ananya,2.86,140,178.5,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-11-28,198.36,11
204,Hyundai Ioniq 5,Bob,Vikram,2.16,185,345.2,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-10-07,383.6,10
205,Maruti Jimny EV,Ivan,Ananya,0.0,140,173.9,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-29,193.25,12
206,Citroen eC3,Diana,Maya,4.55,110,135.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-21,150.8,10
207,Hyundai Ioniq 5,Bob,Vikram,1.08,185,362.2,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-08-26,402.49,8
208,Citroen eC3,Fiona,Maya,2.73,110,134.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-06-18,149.91,6
209,Maruti Jimny EV,Alice,Ananya,2.86,140,170.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-10-31,189.25,10
210,Honda Clarity EV,Hannah,Sneha,1.11,180,348.3,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-13,387.05,3
211,Honda Clarity EV,George,Sneha,2.78,180,353.5,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-19,392.83,8
212,Honda Clarity EV,Julia,Sneha,1.11,180,345.9,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-27,384.38,10
213,Hyundai Ioniq 5,Bob,Vikram,1.62,185,355.5,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-11-07,395.05,11
214,Honda Clarity EV,Julia,Sneha,2.22,180,354.5,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-10,393.94,10
215,Honda Clarity EV,Ivan,Sneha,1.67,180,352.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-10,391.6,4
216,Honda Clarity EV,Alice,Sneha,0.0,180,341.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-28,379.38,3
217,Maruti Jimny EV,Diana,Ananya,3.57,140,180.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-08-14,200.14,8
218,Hyundai Ioniq 5,Bob,Vikram,0.0,185,329.9,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-15,366.6,3
219,Hyundai Ioniq 5,Ivan,Vikram,0.0,185,334.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-11-26,371.93,11
220,Maruti Jimny EV,Ethan,Ananya,2.14,140,177.8,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-06-15,197.58,6
221,Citroen eC3,Diana,Maya,4.55,110,133.1,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-09-01,147.91,9
222,Citroen eC3,Fiona,Maya,0.0,110,133.4,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-06-15,148.24,6
223,Nissan ARIYA,Julia,Ramesh,3.12,160,269.5,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-26,299.48,10
224,Nissan ARIYA,Julia,Ramesh,3.12,160,271.3,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-03-14,301.48,3
225,Nissan ARIYA,Ivan,Ramesh,0.0,160,283.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-30,315.48,7
226,Maruti Jimny EV,George,Ananya,0.0,140,172.8,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-06,192.02,1
227,Honda Clarity EV,Ivan,Sneha,1.11,180,374.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-07-13,415.83,7
228,Honda Clarity EV,George,Sneha,2.22,180,351.0,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-05,390.05,10
229,Citroen eC3,Bob,Maya,4.55,110,128.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-04-01,143.02,4
230,Honda Clarity EV,Alice,Sneha,1.11,180,362.7,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-08,403.05,5
231,Honda Clarity EV,Ivan,Sneha,1.11,180,376.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-07,417.94,3
232,Maruti Jimny EV,Diana,Ananya,0.0,140,182.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-30,202.58,9
233,Citroen eC3,Charlie,Maya,4.55,110,130.1,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-12-06,144.57,12
234,Honda Clarity EV,Ivan,Sneha,1.67,180,368.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-04,409.38,10
235,Honda Clarity EV,Julia,Sneha,2.22,180,363.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-02-23,403.6,2
236,Hyundai Ioniq 5,Bob,Vikram,2.7,185,345.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-11-02,383.82,11
237,Maruti Jimny EV,Ivan,Ananya,2.14,140,181.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-02-21,201.8,2
238,Nissan ARIYA,Diana,Ramesh,1.88,160,293.0,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-06-06,325.6,6
239,Hyundai Ioniq 5,Ethan,Vikram,2.7,185,355.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-10-06,394.6,10
240,Hyundai Ioniq 5,Ivan,Vikram,0.54,185,347.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-11-02,386.05,11
241,Nissan ARIYA,Charlie,Ramesh,2.5,160,286.3,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-06-13,318.15,6
242,Citroen eC3,Ivan,Maya,4.55,110,133.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-07-02,148.46,7
243,Honda Clarity EV,Hannah,Sneha,1.67,180,362.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-09-13,402.38,9
244,Maruti Jimny EV,Ivan,Ananya,3.57,140,187.5,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-03-04,208.36,3
245,Citroen eC3,Ethan,Maya,4.55,110,124.1,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-12,137.91,11
246,Honda Clarity EV,Alice,Sneha,2.78,180,377.6,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-18,419.61,4
247,Maruti Jimny EV,Julia,Ananya,1.43,140,183.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-08-09,203.47,8
248,Honda Clarity EV,Ivan,Sneha,0.56,180,346.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-23,384.6,4
249,Hyundai Ioniq 5,George,Vikram,2.16,185,341.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-08-03,379.05,8
250,Nissan ARIYA,Fiona,Ramesh,2.5,160,295.0,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-12-26,327.82,12
251,Hyundai Ioniq 5,Hannah,Vikram,0.0,185,347.9,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-02-13,386.6,2
252,Honda Clarity EV,Julia,Sneha,1.67,180,379.8,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-21,422.05,8
253,Honda Clarity EV,Alice,Sneha,2.22,180,355.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-25,394.6,4
254,Nissan ARIYA,Julia,Ramesh,2.5,160,282.0,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-02-01,313.37,2
255,Maruti Jimny EV,Fiona,Ananya,2.14,140,180.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-06-22,200.47,6
256,Honda Clarity EV,Diana,Sneha,1.11,180,342.9,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-07-15,381.05,7
257,Maruti Jimny EV,Ethan,Ananya,0.0,140,181.7,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-06-30,201.91,6
258,Honda Clarity EV,George,Sneha,2.22,180,373.3,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-06,414.83,10
259,Honda Clarity EV,Charlie,Sneha,1.11,180,368.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-23,409.16,4
260,Maruti Jimny EV,Julia,Ananya,3.57,140,189.0,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-14,210.03,9
261,Maruti Jimny EV,Alice,Ananya,1.43,140,177.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-04-19,197.14,4
262,Hyundai Ioniq 5,Hannah,Vikram,2.7,185,331.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-07-13,368.6,7
263,Citroen eC3,Bob,Maya,2.73,110,125.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-05-10,139.57,5
264,Honda Clarity EV,Hannah,Sneha,1.11,180,349.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-30,388.05,4
265,Nissan ARIYA,Ethan,Ramesh,3.12,160,267.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-06-08,297.7,6
266,Honda Clarity EV,Fiona,Sneha,0.56,180,341.6,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-12-21,379.6,12
267,Maruti Jimny EV,Ethan,Ananya,0.0,140,172.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-12,191.47,12
268,Maruti Jimny EV,Ivan,Ananya,3.57,140,178.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-06-05,198.02,6
269,Nissan ARIYA,George,Ramesh,0.62,160,275.2,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-08-27,305.82,8
270,Citroen eC3,Julia,Maya,4.55,110,126.8,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-08-08,140.91,8
271,Hyundai Ioniq 5,Diana,Vikram,0.0,185,343.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-11-28,381.27,11
272,Maruti Jimny EV,Bob,Ananya,1.43,140,173.9,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-25,193.25,9
273,Maruti Jimny EV,Ivan,Ananya,2.86,140,173.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-02-21,192.91,2
274,Honda Clarity EV,Bob,Sneha,2.78,180,347.8,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-30,386.49,8
275,Citroen eC3,Diana,Maya,0.0,110,125.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-08,139.57,11
276,Maruti Jimny EV,Fiona,Ananya,0.0,140,174.0,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-11-26,193.36,11
277,Hyundai Ioniq 5,Ivan,Vikram,2.16,185,365.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-05-23,406.38,5
278,Nissan ARIYA,Hannah,Ramesh,1.88,160,289.8,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-04-03,322.04,4
279,Citroen eC3,Julia,Maya,0.91,110,137.8,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-03-18,153.13,3
280,Citroen eC3,Diana,Maya,3.64,110,126.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-03-05,140.68,3
281,Maruti Jimny EV,Charlie,Ananya,2.86,140,170.8,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-03-01,189.8,3
282,Maruti Jimny EV,Alice,Ananya,2.14,140,176.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-08-25,195.8,8
283,Hyundai Ioniq 5,George,Vikram,0.54,185,358.3,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-11-25,398.16,11
284,Maruti Jimny EV,Hannah,Ananya,0.71,140,170.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-02-13,189.58,2
285,Citroen eC3,Fiona,Maya,4.55,110,131.4,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-27,146.02,10
286,Citroen eC3,Ivan,Maya,0.91,110,134.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-01-04,148.91,1
287,Honda Clarity EV,George,Sneha,1.11,180,356.5,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-04,396.16,5
288,Honda Clarity EV,George,Sneha,2.78,180,370.8,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-07-04,412.05,7
289,Hyundai Ioniq 5,Julia,Vikram,2.7,185,340.8,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-12-21,378.71,12
290,Honda Clarity EV,Charlie,Sneha,2.22,180,343.3,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-16,381.49,5
291,Maruti Jimny EV,Charlie,Ananya,2.86,140,186.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-20,207.03,9
292,Maruti Jimny EV,Julia,Ananya,2.86,140,177.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-23,197.14,12
293,Hyundai Ioniq 5,Ivan,Vikram,2.16,185,336.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-14,373.49,3
294,Honda Clarity EV,Diana,Sneha,1.11,180,366.6,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-01-19,407.38,1
295,Hyundai Ioniq 5,Charlie,Vikram,1.08,185,333.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-23,370.82,4
296,Citroen eC3,Ivan,Maya,1.82,110,125.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-01-03,139.68,1
297,Nissan ARIYA,Ivan,Ramesh,1.88,160,296.8,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-16,329.82,7
298,Citroen eC3,Fiona,Maya,0.91,110,126.5,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-09-06,140.57,9
299,Citroen eC3,Alice,Maya,1.82,110,135.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-12-18,151.02,12
300,Maruti Jimny EV,George,Ananya,0.71,140,184.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-05-01,204.8,5
301,Nissan ARIYA,Diana,Ramesh,1.25,160,276.3,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-12,307.04,10
302,Citroen eC3,Bob,Maya,4.55,110,134.2,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-06-10,149.13,6
303,Honda Clarity EV,Julia,Sneha,1.11,180,364.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-22,404.94,10
304,Maruti Jimny EV,Diana,Ananya,2.14,140,173.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-26,192.47,9
305,Hyundai Ioniq 5,Alice,Vikram,2.7,185,340.5,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-01-16,378.38,1
306,Maruti Jimny EV,Ethan,Ananya,2.14,140,189.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-18,210.69,12
307,Citroen eC3,Diana,Maya,4.55,110,124.3,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-08-25,138.13,8
308,Hyundai Ioniq 5,Diana,Vikram,2.7,185,347.3,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-08-05,385.94,8
309,Hyundai Ioniq 5,Hannah,Vikram,1.08,185,353.0,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-12-24,392.27,12
310,Citroen eC3,Julia,Maya,0.91,110,135.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-03-04,150.8,3
311,Maruti Jimny EV,Alice,Ananya,1.43,140,182.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-20,202.47,9
312,Maruti Jimny EV,Ivan,Ananya,3.57,140,172.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-04-12,191.58,4
313,Honda Clarity EV,George,Sneha,1.67,180,365.7,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-16,406.38,3
314,Citroen eC3,Alice,Maya,1.82,110,129.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-05-14,144.13,5
315,Nissan ARIYA,Alice,Ramesh,0.0,160,270.4,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-02,300.48,10
316,Maruti Jimny EV,Julia,Ananya,1.43,140,173.0,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-07-03,192.25,7
317,Hyundai Ioniq 5,Bob,Vikram,0.54,185,359.6,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-09-03,399.6,9
318,Maruti Jimny EV,Diana,Ananya,1.43,140,184.5,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-06-29,205.03,6
319,Honda Clarity EV,Fiona,Sneha,2.78,180,360.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-02-12,400.16,2
320,Honda Clarity EV,Charlie,Sneha,1.67,180,379.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-07-17,421.27,7
321,Citroen eC3,Charlie,Maya,1.82,110,133.1,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-03-30,147.91,3
322,Maruti Jimny EV,Diana,Ananya,2.86,140,174.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-25,193.58,9
323,Citroen eC3,Charlie,Maya,1.82,110,137.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-03,153.02,11
324,Nissan ARIYA,Ivan,Ramesh,3.12,160,288.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-09,320.15,10
325,Nissan ARIYA,Hannah,Ramesh,2.5,160,279.6,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-25,310.7,10
326,Hyundai Ioniq 5,Bob,Vikram,1.08,185,335.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-02-15,372.71,2
327,Hyundai Ioniq 5,Ivan,Vikram,1.62,185,342.3,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-14,380.38,3
328,Maruti Jimny EV,Alice,Ananya,2.14,140,172.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-04,191.47,12
329,Maruti Jimny EV,Ethan,Ananya,2.86,140,174.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-03-30,193.47,3
330,Citroen eC3,Charlie,Maya,0.91,110,137.5,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-09-14,152.8,9
